shipping_fact_id,date_id,shipping_mode_id,order_region_id,shipping_delay,is_late
1,,1,1,1.0,True
2,,1,1,0.0,False
3,,1,2,-1.0,False
4,,1,2,-2.0,False
5,,1,2,2.0,True
6,,2,3,1.0,True
7,,2,3,1.0,True
8,,3,3,1.0,True
9,,2,3,1.0,True
10,,3,3,4.0,True
11,,3,4,3.0,True
12,,3,4,2.0,True
13,,2,1,1.0,True
14,,2,1,1.0,True
15,,2,1,1.0,True
16,,3,3,3.0,True
17,,2,1,1.0,True
18,,2,1,1.0,True
19,,4,1,0.0,False
20,,4,1,0.0,False
21,,1,1,1.0,True
22,,3,2,2.0,True
23,,3,2,1.0,True
24,,3,2,0.0,False
25,,3,2,4.0,True
26,,3,2,3.0,True
27,,1,3,0.0,False
28,,1,3,-1.0,False
29,,1,3,-2.0,False
30,,1,3,2.0,True
31,,1,1,1.0,True
32,,1,1,0.0,False
33,,2,3,1.0,True
34,,2,3,1.0,True
35,,2,4,1.0,True
36,,2,1,1.0,True
37,,3,1,3.0,True
38,,3,5,0.0,False
39,,3,1,4.0,True
40,,3,6,3.0,True
41,,3,6,4.0,True
42,,3,7,2.0,True
43,,3,8,0.0,False
44,,3,8,2.0,True
45,,3,8,1.0,True
46,,3,8,0.0,False
47,,3,8,1.0,True
48,,3,9,3.0,True
49,,3,10,3.0,True
50,,3,10,3.0,True
51,,3,10,2.0,True
52,,3,11,2.0,True
53,,3,9,3.0,True
54,,3,11,4.0,True
55,,3,11,0.0,False
56,,3,11,2.0,True
57,,3,10,2.0,True
58,,1,10,1.0,True
59,,1,10,-2.0,False
60,,1,9,1.0,True
61,,1,11,-1.0,False
62,,1,11,-1.0,False
63,,1,10,-1.0,False
64,,1,9,0.0,False
65,,1,9,0.0,False
66,,1,11,-1.0,False
67,,1,10,-1.0,False
68,,1,10,1.0,True
69,,1,11,-2.0,False
70,,1,10,1.0,True
71,,1,11,2.0,True
72,,1,11,-2.0,False
73,,1,11,-2.0,False
74,,1,11,2.0,True
75,,1,11,1.0,True
76,,1,11,1.0,True
77,,3,12,4.0,True
78,,3,13,1.0,True
79,,3,14,3.0,True
80,,3,14,3.0,True
81,,3,8,2.0,True
82,,3,8,4.0,True
83,,3,15,4.0,True
84,,3,8,0.0,False
85,,3,15,2.0,True
86,,3,8,3.0,True
87,,3,15,0.0,False
88,,3,16,2.0,True
89,,3,8,1.0,True
90,,3,16,2.0,True
91,,3,16,3.0,True
92,,3,16,4.0,True
93,,3,16,2.0,True
94,,3,8,2.0,True
95,,3,8,3.0,True
96,,1,6,2.0,True
97,,1,6,-2.0,False
98,,1,17,-1.0,False
99,,1,17,-1.0,False
100,,1,18,2.0,True
101,,1,18,2.0,True
102,,1,17,-2.0,False
103,,1,7,0.0,False
104,,1,19,0.0,False
105,,1,19,0.0,False
106,,1,13,-2.0,False
107,,1,14,0.0,False
108,,1,14,1.0,True
109,,1,14,0.0,False
110,,1,14,-2.0,False
111,,1,13,1.0,True
112,,1,13,-1.0,False
113,,1,13,-1.0,False
114,,1,20,0.0,False
115,,1,2,0.0,False
116,,1,2,-2.0,False
117,,1,1,-2.0,False
118,,1,5,0.0,False
119,,1,3,-2.0,False
120,,1,2,-1.0,False
121,,1,2,-2.0,False
122,,1,2,0.0,False
123,,1,1,1.0,True
124,,1,4,2.0,True
125,,1,3,-1.0,False
126,,1,3,0.0,False
127,,1,2,2.0,True
128,,1,2,-1.0,False
129,,1,2,-2.0,False
130,,1,1,0.0,False
131,,1,1,1.0,True
132,,1,1,1.0,True
133,,1,4,0.0,False
134,,1,4,-2.0,False
135,,1,5,1.0,True
136,,1,21,-2.0,False
137,,1,3,0.0,False
138,,1,19,-2.0,False
139,,1,19,-1.0,False
140,,1,13,-1.0,False
141,,1,12,0.0,False
142,,1,19,1.0,True
143,,1,14,-1.0,False
144,,1,14,-2.0,False
145,,1,8,2.0,True
146,,1,15,-1.0,False
147,,1,8,-2.0,False
148,,1,8,-2.0,False
149,,1,8,1.0,True
150,,1,22,-1.0,False
151,,1,15,2.0,True
152,,1,8,-2.0,False
153,,1,22,2.0,True
154,,1,11,-1.0,False
155,,1,11,-2.0,False
156,,1,10,-2.0,False
157,,1,11,0.0,False
158,,1,9,-1.0,False
159,,1,11,0.0,False
160,,1,9,1.0,True
161,,1,10,2.0,True
162,,1,11,1.0,True
163,,1,10,1.0,True
164,,1,11,0.0,False
165,,1,11,-2.0,False
166,,1,11,-2.0,False
167,,1,10,1.0,True
168,,1,11,-2.0,False
169,,1,10,-1.0,False
170,,1,10,1.0,True
171,,3,11,4.0,True
172,,3,5,0.0,False
173,,3,2,4.0,True
174,,3,3,0.0,False
175,,3,1,1.0,True
176,,3,6,3.0,True
177,,3,6,4.0,True
178,,3,6,0.0,False
179,,3,7,2.0,True
180,,3,20,1.0,True
181,,3,20,0.0,False
182,,3,8,4.0,True
183,,3,8,0.0,False
184,,3,8,0.0,False
185,,3,8,1.0,True
186,,3,22,0.0,False
187,,3,16,0.0,False
188,,3,22,1.0,True
189,,3,8,0.0,False
190,,3,22,1.0,True
191,,3,11,0.0,False
192,,3,11,1.0,True
193,,3,10,1.0,True
194,,3,11,1.0,True
195,,3,11,0.0,False
196,,3,2,0.0,False
197,,3,4,1.0,True
198,,3,5,0.0,False
199,,3,2,4.0,True
200,,3,6,3.0,True
201,,3,6,1.0,True
202,,3,23,3.0,True
203,,3,15,3.0,True
204,,3,15,0.0,False
205,,3,8,4.0,True
206,,3,15,0.0,False
207,,3,16,0.0,False
208,,3,8,3.0,True
209,,3,8,4.0,True
210,,3,8,0.0,False
211,,3,8,4.0,True
212,,3,22,0.0,False
213,,3,11,1.0,True
214,,3,8,2.0,True
215,,3,15,0.0,False
216,,3,16,4.0,True
217,,3,15,1.0,True
218,,3,8,2.0,True
219,,3,8,1.0,True
220,,3,16,1.0,True
221,,3,16,3.0,True
222,,3,15,1.0,True
223,,3,15,0.0,False
224,,3,8,1.0,True
225,,3,22,3.0,True
226,,3,16,0.0,False
227,,3,16,4.0,True
228,,3,8,3.0,True
229,,3,8,2.0,True
230,,3,8,4.0,True
231,,3,8,3.0,True
232,,3,15,4.0,True
233,,3,16,4.0,True
234,,3,16,4.0,True
235,,3,16,4.0,True
236,,3,15,1.0,True
237,,3,16,3.0,True
238,,3,16,4.0,True
239,,3,15,0.0,False
240,,3,8,1.0,True
241,,3,16,3.0,True
242,,3,16,1.0,True
243,,3,16,2.0,True
244,,3,15,1.0,True
245,,3,8,4.0,True
246,,3,8,1.0,True
247,,3,8,3.0,True
248,,3,16,2.0,True
249,,3,8,3.0,True
250,,3,8,2.0,True
251,,3,16,3.0,True
252,,3,16,2.0,True
253,,3,15,1.0,True
254,,3,8,0.0,False
255,,1,11,2.0,True
256,,1,10,1.0,True
257,,1,9,2.0,True
258,,1,11,1.0,True
259,,1,10,-1.0,False
260,,1,11,2.0,True
261,,1,9,-2.0,False
262,,1,9,-2.0,False
263,,1,10,-2.0,False
264,,1,11,-2.0,False
265,,1,11,-1.0,False
266,,1,10,1.0,True
267,,1,10,-2.0,False
268,,1,11,-2.0,False
269,,1,11,-1.0,False
270,,1,11,1.0,True
271,,1,10,-2.0,False
272,,1,10,-2.0,False
273,,1,10,1.0,True
274,,1,11,2.0,True
275,,1,10,-2.0,False
276,,1,11,0.0,False
277,,1,9,2.0,True
278,,1,11,-1.0,False
279,,1,11,1.0,True
280,,1,11,-2.0,False
281,,1,11,2.0,True
282,,1,11,0.0,False
283,,1,10,1.0,True
284,,1,3,0.0,False
285,,1,2,-1.0,False
286,,1,3,2.0,True
287,,1,2,1.0,True
